message,category
"Messages and calls are end-to-end encrypted. No one outside of this chat, not even WhatsApp, can read or listen to them. Tap to learn more.",System Notification
This chat has added privacy for your phone number. Tap to learn more.,System Notification
"kokila PR created community ""PLACEMENT ANNOUNCEMENTS.""",System Notification
Welcome to the community!,System Notification
Praveen PR is now a community admin,System Notification
+91 73391 24748: <Media omitted>,Media
Praveen PR: <Media omitted>,Media
"Praveen PR: Guys ,for MKS it's GD and technical round",Important
"kokila PR: For Disperz,the listed shared by CUIC contains no PG students till now.If we receive any other list we will inform you.",Important
kokila PR: Quantiphi Analytics - Registration (URGENT),Important
kokila PR: Quantiphi Analytics - Next Process - Mandatory to fill the form to proceed further,Important
+91 73391 24748: *Attention everyone!*,Important
"Praveen PR: For Bank of America ,there are 5 ques .Three will be of video recording like giving explanation on the questions they have asked and two will be coding.",Important
Praveen PR: *Philips*,Important
kokila PR: https://cdn.digialm.com//EForms/configuredHtml/32386/91059/login.html,Spam
"Praveen PR: If you secure an internship (for now, at Philips), you can only apply for a full-time position (FTE) afterward, and applying for an internship cum FTE is not allowed.",Important
+91 73391 24748: Softeon India - Registration,Important
kokila PR: *Reminder - Softeon - Online Assessment*,Important
kokila PR: *Kind Attention - PRs- Reg - Bank of America*,Important
+91 90250 26009: *Update from Bank of America*,Important
+91 73391 24748: TCS Webinar,Important
+91 73391 24748: <Media omitted>,Media
+91 90250 26009: Everyone check your mail for LTImindtree technical interview!!,Important
"+91 73391 24748: Hello everyone,",Important
kokila PR: Volkswagen Group Technology Solutions India is hiring students for full-time roles:,Important
+91 90250 26009: *Update from Lumenci*,Important
kokila PR: *Optum India Early*,Important
"Praveen PR: Dear PRS,",Important
+91 90250 26009: <Media omitted>,Media
+91 90250 26009: *Emergency Responder Training Program for all Staff and Students*,Important
Praveen PR: <Media omitted>,Media
kokila PR: Infosys limited drive postponed to November..,Important
+91 90250 26009: TCS Webinar,Important
"Praveen PR: Dear PRs,",Important
Praveen PR: Update from TCS,Important
Praveen PR: Ramco Systems - Registration  (Final Semester - 6 months Internship & Placement) ,Important
+91 90250 26009: <Media omitted>,Media
kokila PR: Mphasis Limited - Registration,Important
"+91 90250 26009: Dear Collaborator, ",Important
Praveen PR: <Media omitted>,Media
+91 90250 26009: Greetings from Zoho!,Important
+91 90250 26009: *Mphasis*,Important
Praveen PR: *Update from Ford*,Important
Praveen PR: *Reminder - Ramco systems*,Important
Praveen PR: <Media omitted>,Media
Praveen PR:,Important
Welcome to the community!,System Notification
+91 90250 26009: This message was deleted,Spam
Praveen PR: This message was deleted,Spam
+91 73391 24748: <Media omitted>,Media
"Praveen PR: Guys, for MKS it's GD and technical round",Important
"kokila PR: For Disperz, the listed shared by CUIC contains no PG students till now. If we receive any other list, we will inform you.",Important
kokila PR: Quantiphi Analytics - Registration (URGENT),Important
kokila PR: Quantiphi Analytics - Next Process - Mandatory to fill the form to proceed further,Important
kokila PR: No information received yet now for Quantiphi. We will update if any information is received ASAP.,Important
kokila PR: <Media omitted>,Media
"+91 73391 24748: *Attention everyone!* Those attending the MKS Vision GD, please complete the BoA test during consolidation time or lunch.",Important
"Praveen PR: For Bank of America, there are 5 questions. Three will be of video recording like giving an explanation, and two will be coding.",Important
"kokila PR: POLL: TCS NQT, OPTION: Mail received (26 votes), OPTION: Not received (3 votes)",Important
"kokila PR: *Reminder - Philips* PRs, *Students must register by 26.09.2024, 08:00 p.m. to proceed with the Online assessment process*",Important
kokila PR: *Update from Philips* The list of students attached will move to Mettl (technical assessment),Important
"Praveen PR: If you secure an internship (for now, at Philips), you can only apply for a full-time position (FTE) afterward.",Important
+91 73391 24748: Softeon India - Registration,Important
kokila PR: *Reminder - Softeon - Online Assessment*,Important
kokila PR: *Kind Attention - PRs- Reg - Bank of America*,Important
+91 90250 26009: <Media omitted>,Media
"+91 73391 24748: Hello everyone, Unfortunately, no one has been shortlisted for Mindsprint Company from MCA.",Important
+91 90250 26009: *Update from Bank of America* Shortlisted students must bring 3 copies of each document.,Important
"+91 73391 24748: TCS Webinar is scheduled on Oct 16, 2024, at 4 PM.",Important
+91 73391 24748: <Media omitted>,Media
+91 90250 26009: Everyone check your mail for LTImindtree technical interview!!,Important
kokila PR: Volkswagen Group Technology Solutions India is hiring students for full-time roles.,Important
"Praveen PR: Dear PRS, Emergency Responder Training Program is scheduled at Anna University.",Important
+91 90250 26009: <Media omitted>,Media
+91 90250 26009: *Emergency Responder Training Program for all Staff and Students*,Important
Praveen PR: <Media omitted>,Media
kokila PR: Infosys limited drive postponed to November.,Important
+91 90250 26009: TCS Webinar scheduled for Oct 25 at 4 PM.,Important
"Praveen PR: Dear PRs, mobile phones are strictly prohibited during online tests.",Important
"Praveen PR: Update from TCS, shortlisted students must fill the application form.",Important
Praveen PR: Ramco Systems - Registration (Final Semester - 6 months Internship & Placement),Important
+91 90250 26009: <Media omitted>,Media
kokila PR: Mphasis Limited - Registration,Important
"+91 90250 26009: Temenos launches Tem-(E)-thon, a hackathon competition.",Important
+91 90250 26009: Greetings from Zoho! Cliqtrix contest announced.,Important
+91 90250 26009: *Mphasis*,Important
Praveen PR: *Update from Ford*,Important
Praveen PR: *Reminder - Ramco systems*,Important
Praveen PR: <Media omitted>,Media
Praveen PR: Ramco Systems shortlisted students must report at CUIC on 16/11/2024.,Important
kokila PR: This message was deleted,Spam
kokila PR: null,Spam
+91 90250 26009: null,Spam
+91 90250 26009: This message was deleted,Spam
